Vehicle Spy 3 Bus Traffic File
Save Date,7/31/2015
Save Time,3:04:02 pm
Start Date,7/31/2015
Start Time,2:50:38 pm
System Time,1835211
Notes,

Network Description,Hardware,Network,Protocol,Baud Rate
HS CAN,Default,HS CAN,CAN,500000,
MS CAN,Default,MS CAN,CAN,125000,
SW CAN,Default,SW CAN,CAN,33333,
J1850 VPW,Default,J1850 VPW,J1850 VPW,10417,
ISO9141/KW2K,Default,ISO9141/KW2K,KeyWord 2000,10417,
LSFT CAN,Default,LSFT CAN,CAN,125000,
J1850 PWM,Default,J1850 PWM,J1850 PWM,41600,
J1708,Default,J1708,J1708,9600,
neoVI,Default,neoVI,CAN,,
HS CAN2 (neoVI 3G),Default,HS CAN2 (neoVI 3G),CAN,500000,
HS CAN3 (neoVI 3G),Default,HS CAN3 (neoVI 3G),CAN,500000,
LIN2 (neoVI 3G),Default,LIN2 (neoVI 3G),LIN,10417,
LIN3 (neoVI 3G),Default,LIN3 (neoVI 3G),LIN,10417,
LIN4 (neoVI 3G),Default,LIN4 (neoVI 3G),LIN,10417,
CGI (neoVI 3G),Default,CGI (neoVI 3G),CGI,625000,
LIN,Default,LIN,LIN,10417,
ISO9141/KW2K 2,Default,ISO9141/KW2K 2,KeyWord 2000,10417,
ISO9141/KW2K 3,Default,ISO9141/KW2K 3,KeyWord 2000,10417,
ISO9141/KW2K 4,Default,ISO9141/KW2K 4,KeyWord 2000,10417,
SW CAN2 (neoVI 3G),Default,SW CAN2 (neoVI 3G),CAN,33333,
LSFT CAN2 (neoVI 3G),Default,LSFT CAN2 (neoVI 3G),CAN,125000,
UART (neoVI 3G),Default,UART (neoVI 3G),UART,10417,
UART2 (neoVI 3G),Default,UART2 (neoVI 3G),UART,10417,
neoMOST,Default,neoMOST,MOST,1000000,
MOST (VNET A),Default,MOST (VNET A),MOST,1000000,
FlexRay1A (VNET A),Default,FlexRay1A (VNET A),FlexRay,5000000,
FlexRay1B (VNET A),Default,FlexRay1B (VNET A),FlexRay,5000000,
FlexRay2A (VNET A),Default,FlexRay2A (VNET A),FlexRay,5000000,
FlexRay2B (VNET A),Default,FlexRay2B (VNET A),FlexRay,5000000,
HS CAN (VNET A),Default,HS CAN (VNET A),CAN,500000,
MS CAN (VNET A),Default,MS CAN (VNET A),CAN,500000,
SW CAN (VNET A),Default,SW CAN (VNET A),CAN,500000,
J1850 VPW (VNET A),Default,J1850 VPW (VNET A),CAN,500000,
LSFT CAN (VNET A),Default,LSFT CAN (VNET A),CAN,500000,
J1708 (VNET A),Default,J1708 (VNET A),CAN,500000,
neoVI (VNET A),Default,neoVI (VNET A),CAN,500000,
HS CAN2 (VNET A),Default,HS CAN2 (VNET A),CAN,500000,
HS CAN3 (VNET A),Default,HS CAN3 (VNET A),CAN,500000,
LIN (VNET A),Default,LIN (VNET A),LIN,10417,
LIN2 (VNET A),Default,LIN2 (VNET A),LIN,10417,
LIN3 (VNET A),Default,LIN3 (VNET A),LIN,10417,
LIN4 (VNET A),Default,LIN4 (VNET A),LIN,10417,
CGI (VNET A),Default,CGI (VNET A),CGI,625000,
ISO9141/KW2K (VNET A),Default,ISO9141/KW2K (VNET A),CAN,500000,
ISO9141/KW2K 2 (VNET A),Default,ISO9141/KW2K 2 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 3 (VNET A),Default,ISO9141/KW2K 3 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 4 (VNET A),Default,ISO9141/KW2K 4 (VNET A),KeyWord 2000,10417,



Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
1,424.18988335,0,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
2,424.201840475,0.0119571249999808,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,02,FB,00,01,00,50,07,01,,,
3,424.2020985749999,0.0002580999999963751,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,69,5D,2C,3C,11,B3,,,
4,424.2023366,0.0002380250000442174,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,CB,13,45,,,
5,424.2178694,0.01553279999995994,67371008,F,F,HS CAN $441,HS CAN,,441,F,F,0B,1E,75,58,13,39,28,62,,,
6,424.2328362249999,0.01496682499998769,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,00,,,,,,,,,
7,424.275679425,0.04284320000010666,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
8,424.360677825,0.084998399999904,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
9,424.419706725,0.0590289000000439,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,0A,,,,,,,,,
10,424.445021125,0.02531439999995655,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
11,424.530019575,0.08499845000005735,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
12,424.604553125,0.07453354999995554,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,0A,,,,,,,,,
13,424.615018525,0.0104654000000437,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
14,424.699360925,0.08434239999996862,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
15,424.7049065499999,0.005545624999967913,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,09,,,,,,,,,
16,424.7844873749999,0.07958082499999364,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
17,424.805209675,0.02072230000010222,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,0F,,,,,,,,,
18,424.8696234749999,0.06441379999989749,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
19,424.905572375,0.03594890000010764,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,07,,,,,,,,,
20,424.9539633,0.04839092499992148,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
21,425.004921,0.05095770000002631,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,0A,,,,,,,,,
22,425.039090775,0.0341697750000094,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
23,425.10524305,0.06615227500003584,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,12,,,,,,,,,
24,425.127515625,0.02227257499998814,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
25,425.205608925,0.07809329999997772,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,11,,,,,,,,,
26,425.2117247499999,0.006115824999938013,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,,,,,,,,,
27,425.271855525,0.06013077500006148,284773578964992,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,11,00,01,00,50,07,01,,,
